Proposal No.,Issue URL,Granularity,Directory Level,File Level,Function Level,Code URL
api_logger,N/A,function,utils,utils/logger.c,log_info,utils/logger.c
,,,,,log_error,utils/logger.c
,,,,utils/logger.h,log_info,utils/logger.h
,,,,,log_error,utils/logger.h
